area_type,Available month,Available status,availability,location,Sizes,bath,balcony,price,Total_Sqft
Plot  Area, ,Ready To Move,Ready To Move,Basaveshwara Nagar,7 BHK,7,1,350.00,2460.00
Built-up  Area, ,Ready To Move,Ready To Move,Chokkasandra,2 BHK,2,1,33.00,850.00
Super built-up  Area,October,Scheduled dates,19-Oct,Anekal,1 BHK,1,1,18.00,530.00
Super built-up  Area,July,Scheduled dates,18-Jul,2nd Block Hrbr Layout,3 BHK,3,3,110.00,1550.00
Super built-up  Area,December,Scheduled dates,19-Dec,Kanakapura,3 BHK,3,3,97.00,1699.00
Super built-up  Area,October,Scheduled dates,17-Oct,Bellandur,4 BHK,4,3,109.00,2025.00
Super built-up  Area,June,Scheduled dates,18-Jun,Ananth Nagar,1 BHK,2,2,14.00,500.00
Built-up  Area, ,Ready To Move,Ready To Move,Panduranga Nagar,1 BHK,1,0,20.00,500.00
Built-up  Area, ,Ready To Move,Ready To Move,Sri Venkateshpura Layout,2 BHK,2,1,38.50,1146.00
Super built-up  Area, ,Ready To Move,Ready To Move,Malleshwaram,3 BHK,4,3,332.00,2475.00
Super built-up  Area, ,Ready To Move,Ready To Move,Haralur Road,2 BHK,2,1,145.00,1455.00
Plot  Area, ,Ready To Move,Ready To Move,Seegehalli,2 BHK,1,0,50.00,800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Abbigere,1 BHK,2,2,30.00,765.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lingadheeranahalli,3 BHK,3,1,94.99,1521.00
Super built-up  Area, ,Ready To Move,Ready To Move,Gottigere,3 BHK,2,2,55.00,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Byadarahalli,3 BHK,4,2,370.00,3155.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hebbal Kempapura,3 BHK,4,Not Provided,240.00,2900.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jakkur Plantation,3 BHK,3,3,105.00,1765.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kasavanhalli,3 BHK,3,2,88.00,1980.00
Built-up  Area, ,Ready To Move,Ready To Move,Amruthahalli,3 BHK,3,1,135.00,1900.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaverappa Layout,2 BHK,2,3,70.00,1265.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bommasandra,2 BHK,2,3,40.00,1034.00
Built-up  Area, ,Ready To Move,Ready To Move,Kaverappa Layout,2 BHK,2,1,59.00,1012.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,54.00,1070.00
Built-up  Area, ,Ready To Move,Ready To Move,Mahadevpura,4 BHK,4,1,230.00,3555.00
Super built-up  Area, ,Ready To Move,Ready To Move,5th Block Hbr Layout,3 BHK,2,2,70.00,1270.00
Plot  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,2 BHK,1,0,70.00,585.00
Super built-up  Area, ,Ready To Move,Ready To Move,Doddanekundi,3 BHK,4,3,154.00,2045.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,2,2,98.00,1490.00
Built-up  Area, ,Ready To Move,Ready To Move,Banaswadi,7 BHK,6,1,830.00,6150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mysore Road,2 BHK,2,1,40.00,883.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,1 BHK,1,1,36.85,671.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kammasandra,2 BHK,2,2,32.00,1156.00
Super built-up  Area, ,Ready To Move,Ready To Move,Haralur Road,3 BHK,3,2,125.00,2017.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thigalarapalya,4 BHK,6,2,235.00,3122.00
Super built-up  Area,July,Scheduled dates,18-Jul,Ramagondanahalli,3 BHK,3,1,62.00,1635.00
Built-up  Area, ,Ready To Move,Ready To Move,Sir M V Nagar,7 BHK,9,Not Provided,120.00,4400.00
Super built-up  Area,July,Scheduled dates,19-Jul,Kanakpura Road,2 BHK,2,1,89.00,1296.00
Plot  Area, ,Ready To Move,Ready To Move,Bikasipura,6 BHK,4,2,280.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Budigere,2 BHK,2,2,62.00,1139.00
Super built-up  Area,August,Scheduled dates,18-Aug,CV Raman Nagar,2 BHK,3,2,47.00,1230.00
Super built-up  Area, ,Ready To Move,Ready To Move,Basaveshwara Nagar Yelahanka,1 BHK,2,1,25.00,581.91
Super built-up  Area,December,Scheduled dates,19-Dec,Binny Pete,2 BHK,2,1,86.28,1245.00
Plot  Area, ,Ready To Move,Ready To Move,Sidedahalli,3 BHK,2,2,85.00,1158.00
Built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,4 BHK,4,2,220.00,3951.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,1,1,15.00,550.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,1 BHK,1,1,26.00,360.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronics City Phase 1,3 BHK,3,1,55.00,1350.00
Built-up  Area, ,Ready To Move,Ready To Move,Green Glen Layout,3 BHK,3,2,120.00,1670.00
Super built-up  Area, ,Ready To Move,Ready To Move,Akshaya Nagar,3 BHK,2,2,65.00,1600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Horamavu Banaswadi,2 BHK,2,2,51.60,1307.00
Built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,3 BHK,2,1,57.00,1050.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hennur Road,3 BHK,3,Not Provided,101.00,1703.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggalipura,3 BHK,2,1,58.00,1210.00
Built-up  Area,December,Scheduled dates,18-Dec,Electronic City,2 BHK,2,1,29.60,1025.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,3 BHK,2,2,56.41,1343.00
Super built-up  Area, ,Ready To Move,Ready To Move,R.T. Nagar,3 BHK,3,2,85.00,1560.00
Super built-up  Area,August,Scheduled dates,17-Aug,Kalkere,2 BHK,2,2,51.00,925.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,2,2,75.00,1420.00
Built-up  Area, ,Ready To Move,Ready To Move,1st Block Koramangala,2 BHK,2,3,110.00,1415.00
Super built-up  Area, ,Ready To Move,Ready To Move,Shree Ananth Nagar Layout,2 BHK,2,2,60.00,1210.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,3 BHK,3,2,160.00,1852.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hoskote,3 BHK,3,2,50.00,1250.00
Super built-up  Area,September,Scheduled dates,21-Sep,9th Phase JP Nagar,2 BHK,2,1,65.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,2nd Phase Judicial Layout,2 BHK,2,1,40.25,1150.00
Super built-up  Area,December,Scheduled dates,20-Dec,Jakkur,2 BHK,2,1,53.35,1100.00
Plot  Area, ,Ready To Move,Ready To Move,Magadi Road,2 BHK,1,0,100.00,1350.00
Super built-up  Area, ,Ready To Move,Ready To Move,Panathur,3 BHK,3,2,99.00,1546.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ambedkar Nagar,2 BHK,2,2,90.00,1424.00
Built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,3,1,68.00,1398.00
Super built-up  Area, ,Ready To Move,Ready To Move,Indira Nagar,3 BHK,3,2,200.00,1650.00
Plot  Area, ,Ready To Move,Ready To Move,HBR Layout,4 BHK,4,0,120.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Brookefield,3 BHK,3,2,105.00,1476.00
Built-up  Area, ,Ready To Move,Ready To Move,Attiguppe,2 BHK,2,1,70.00,500.00
Super built-up  Area,August,Scheduled dates,18-Aug,Magadi Road,3 BHK,2,2,58.82,1322.00
Plot  Area, ,Ready To Move,Ready To Move,Srirampuram,2 BHK,2,1,40.00,432.00
Built-up  Area, ,Ready To Move,Ready To Move,Yemlur,2 BHK,2,2,55.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Race Course Road,4 BHK,5,Not Provided,600.00,4750.00
Built-up  Area, ,Ready To Move,Ready To Move,Sarjapur,3 BHK,2,2,68.00,1285.00
Built-up  Area, ,Ready To Move,Ready To Move,Ambalipura,2 BHK,2,2,80.00,1150.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,2,2,56.00,1430.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,3 BHK,2,2,62.00,1350.00
Plot  Area, ,Ready To Move,Ready To Move,Gkvk Layout,3 BHK,3,3,195.00,1350.00
Built-up  Area, ,Ready To Move,Ready To Move,Thubarahalli,2 BHK,2,2,65.00,1185.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bannerghatta Road,3 BHK,3,2,67.00,1760.00
Plot  Area, ,Ready To Move,Ready To Move,Bank Of Baroda Colony,4 BHK,5,2,350.00,2400.00
Super built-up  Area,December,Scheduled dates,21-Dec,Kanakpura Road,2 BHK,2,1,41.00,900.00
Super built-up  Area,July,Scheduled dates,19-Jul,Kanakpura Road,2 BHK,2,1,105.00,1297.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sector 1 HSR Layout,3 BHK,3,2,155.00,1840.00
Built-up  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,2 BHK,2,1,50.79,950.00
Plot  Area, ,Ready To Move,Ready To Move,Chikkabanavar,5 BHK,4,1,70.00,1200.00
Carpet  Area, ,Ready To Move,Ready To Move,BTM 2nd Stage,2 BHK,2,1,52.00,950.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yeshwanthpur,2 BHK,2,0,95.82,1277.50
Super built-up  Area,January,Scheduled dates,18-Jan,Electronic City,3 BHK,3,2,89.00,1571.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City Phase II,2 BHK,2,1,55.00,1031.00
Super built-up  Area,December,Scheduled dates,19-Dec,Whitefield,2 BHK,2,1,90.00,1485.00
Super built-up  Area,December,Scheduled dates,18-Dec,Ananth Nagar,2 BHK,2,1,60.00,1109.00
Super built-up  Area, ,Ready To Move,Ready To Move,Koramangala,3 BHK,3,2,180.00,2200.00
Super built-up  Area,April,Scheduled dates,18-Apr,Whitefield,1 BHK,1,1,50.00,950.00
Plot  Area, ,Ready To Move,Ready To Move,Laggere,3 BHK,2,0,150.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Basavangudi,3 BHK,3,3,300.00,2350.00
Super built-up  Area,April,Scheduled dates,18-Apr,Electronic City Phase II,2 BHK,2,1,40.60,1003.00
Plot  Area, ,Ready To Move,Ready To Move,Bank Of Baroda Colony,2 BHK,2,1,185.00,1350.00
Super built-up  Area,June,Scheduled dates,18-Jun,9th Phase JP Nagar,2 BHK,2,2,37.00,1080.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hulimavu,2 BHK,2,2,73.00,1255.00
Super built-up  Area, ,Ready To Move,Ready To Move,Banaswadi,2 BHK,2,0,60.00,1250.00
Plot  Area, ,Ready To Move,Ready To Move,Brookefield,4 BHK,4,1,152.00,1700.00
Plot  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,3 BHK,2,0,66.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,St. John's Road,2 BHK,2,0,60.00,824.00
Super built-up  Area, ,Ready To Move,Ready To Move,1st Phase JP Nagar,3 BHK,3,1,167.00,1875.00
Built-up  Area,August,Scheduled dates,18-Aug,Bommasandra Industrial Area,3 BHK,2,1,38.12,1320.00
Plot  Area, ,Ready To Move,Ready To Move,Kothanur,5 BHK,5,2,550.00,9600.00
Super built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,3 BHK,2,1,47.00,1330.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaikondrahalli,3 BHK,3,2,56.00,1220.00
Super built-up  Area,December,Scheduled dates,18-Dec,Electronic City,3 BHK,3,1,50.00,1111.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothannur,2 BHK,2,1,47.88,1197.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,4 BHK,5,2,185.00,2519.00
Super built-up  Area,August,Scheduled dates,18-Aug,Doopanahalli,3 BHK,2,1,100.00,1340.00
Plot  Area, ,Ready To Move,Ready To Move,Old Madras Road,4 BHK,3,3,132.00,1450.00
Super built-up  Area,June,Scheduled dates,22-Jun,Hoodi,3 BHK,3,3,145.00,1837.00
Plot  Area, ,Ready To Move,Ready To Move,Haralur Road,4 BHK,4,Not Provided,245.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kudlu Gate,2 BHK,2,3,55.00,1238.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,3 BHK,2,2,59.01,1405.00
Super built-up  Area, ,Ready To Move,Ready To Move,Doddaballapur,4 BHK,3,2,80.00,1690.00
Built-up  Area, ,Ready To Move,Ready To Move,Sathanur,3 BHK,2,1,110.00,1620.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,3 BHK,3,2,115.00,1673.00
Plot  Area, ,Ready To Move,Ready To Move,Margondanahalli,2 BHK,2,0,58.00,1090.00
Super built-up  Area, ,Ready To Move,Ready To Move,Varthur,2 BHK,2,2,40.00,1112.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,3 BHK,2,2,66.65,1385.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City Phase II,2 BHK,1,1,27.00,545.00
Super built-up  Area, ,Ready To Move,Ready To Move,Subramanyapura,2 BHK,2,1,58.00,985.00
Super built-up  Area,December,Scheduled dates,20-Dec,Kanakpura Road,1 BHK,1,0,36.29,825.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kanakpura Road,2 BHK,2,1,37.80,1080.00
Super built-up  Area,March,Scheduled dates,19-Mar,Hosa Road,2 BHK,2,1,97.52,1430.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kengeri Satellite Town,2 BHK,2,2,43.00,1050.00
Plot  Area, ,Ready To Move,Ready To Move,Kumaraswami Layout,4 BHK,4,1,139.00,2000.00
Built-up  Area, ,Ready To Move,Ready To Move,Banashankari Stage VI,4 BHK,4,3,190.00,4800.00
Built-up  Area, ,Ready To Move,Ready To Move,ITI Layout,3 BHK,3,2,115.00,1533.00
Plot  Area, ,Ready To Move,Ready To Move,Ramamohanapuram,4 BHK,3,2,500.00,2800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Malleshwaram,3 BHK,3,Not Provided,399.00,2610.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lakshminarayana Pura,3 BHK,3,2,150.00,1750.00
Super built-up  Area, ,Ready To Move,Ready To Move,Prithvi Layout,2 BHK,2,2,87.50,1352.00
Super built-up  Area, ,Ready To Move,Ready To Move,Harlur,3 BHK,3,2,125.00,1754.00
Built-up  Area, ,Ready To Move,Ready To Move,Tejaswini Nagar,3 BHK,3,2,85.00,1560.00
Super built-up  Area,July,Scheduled dates,18-Jul,Bannerghatta,4 BHK,6,2,268.00,3012.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,4,Not Provided,199.00,3584.00
Super built-up  Area, ,Ready To Move,Ready To Move,Channasandra,3 BHK,2,1,90.00,1470.00
Built-up  Area, ,Ready To Move,Ready To Move,9th Phase JP Nagar,2 BHK,2,1,45.00,1035.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,5,Not Provided,329.00,2400.00
Built-up  Area, ,Ready To Move,Ready To Move,Kammanahalli,2 BHK,2,1,52.00,1160.00
Super built-up  Area, ,Ready To Move,Ready To Move,Jakkur,2 BHK,2,2,52.00,1100.00
Super built-up  Area, ,Ready To Move,Ready To Move,Horamavu Agara,2 BHK,2,Not Provided,38.00,1170.00
Super built-up  Area,December,Scheduled dates,19-Dec,Bannerghatta Road,1 BHK,1,1,31.83,595.00
Super built-up  Area, ,Ready To Move,Ready To Move,HSR Layout,3 BHK,3,2,110.00,1650.00
Super built-up  Area, ,Ready To Move,Ready To Move,1st Block Jayanagar,3 BHK,2,3,235.00,1875.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kamakshipalya,4 BHK,4,1,80.00,800.00
Super built-up  Area, ,Ready To Move,Ready To Move,kanakapura road,3 BHK,2,3,48.06,1375.00
Super built-up  Area,June,Scheduled dates,18-Jun,Ramagondanahalli,2 BHK,2,1,46.80,1235.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaveri Nagar,1 BHK,1,2,25.00,750.00
Built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,3 BHK,3,1,115.00,1400.00
Super built-up  Area, ,Ready To Move,Ready To Move,Poorna Pragna Layout,3 BHK,2,2,50.79,1270.00
Super built-up  Area,December,Scheduled dates,18-Dec,Bannerghatta Road,2 BHK,2,1,51.00,1105.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sundar Ram Shetty Nagar,3 BHK,2,3,85.00,1375.00
Plot  Area, ,Ready To Move,Ready To Move,Attibele,4 BHK,4,2,95.00,2168.00
Built-up  Area, ,Ready To Move,Ready To Move,Gottigere,8 BHK,8,3,90.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yelahanka,2 BHK,2,1,40.84,1065.00
Plot  Area, ,Ready To Move,Ready To Move,Sector 6 HSR Layout,3 BHK,3,0,580.00,3800.00
Plot  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,9 BHK,9,Not Provided,350.00,3125.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,1 BHK,1,1,45.00,825.00
Built-up  Area, ,Ready To Move,Ready To Move,Nelamangala,2 BHK,2,0,40.00,1095.00
Plot  Area, ,Ready To Move,Ready To Move,Ganga Nagar,3 BHK,3,3,65.00,720.00
Super built-up  Area,July,Scheduled dates,18-Jul,Udayapur Village,3 BHK,2,2,60.33,1440.00
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,39.50,870.00
Super built-up  Area, ,Ready To Move,Ready To Move,Panathur,2 BHK,2,1,84.00,1195.00
Super built-up  Area, ,Ready To Move,Ready To Move,"Kirloskar layout, Basaveshwarnagar",2 BHK,2,1,49.50,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,3,61.20,1530.00
Super built-up  Area,October,Scheduled dates,17-Oct,Padmanabhanagar,3 BHK,2,1,90.50,1708.00
Super built-up  Area, ,Ready To Move,Ready To Move,Alfa Garden Layout,2 BHK,2,1,43.00,975.00
Built-up  Area, ,Ready To Move,Ready To Move,KR Puram,2 BHK,2,1,25.00,750.00
Plot  Area, ,Ready To Move,Ready To Move,Gowdanapalya,8 BHK,8,2,190.00,1200.00
Super built-up  Area,December,Scheduled dates,18-Dec,Iblur Village,3 BHK,3,2,130.00,1920.00
Plot  Area, ,Ready To Move,Ready To Move,Nagarbhavi,6 BHK,5,2,240.00,1200.00
Super built-up  Area,December,Scheduled dates,21-Dec,Thanisandra,2 BHK,2,1,58.56,1183.00
Plot  Area, ,Ready To Move,Ready To Move,Kothanur,4 BHK,4,1,90.00,1140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mico Layout,3 BHK,2,2,65.00,1550.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,2 BHK,2,3,53.00,1110.00
Plot  Area, ,Ready To Move,Ready To Move,NS Palya,8 BHK,10,3,165.00,1500.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,2 BHK,2,1,38.67,1105.00
Plot  Area, ,Ready To Move,Ready To Move,Anekal,3 BHK,3,2,68.00,1800.00
Super built-up  Area, ,Ready To Move,Ready To Move,2nd Phase JP Nagar,5 BHK,4,2,200.00,2800.00
Super built-up  Area,July,Scheduled dates,18-Jul,Bommanahalli,2 BHK,2,2,29.90,1000.00
Built-up  Area, ,Ready To Move,Ready To Move,Prithvi Layout,2 BHK,2,2,68.00,1190.00
Plot  Area, ,Ready To Move,Ready To Move,2nd Stage Nagarbhavi,4 BHK,4,1,200.00,1350.00
Super built-up  Area,October,Scheduled dates,19-Oct,Hebbal,4 BHK,4,2,230.00,3067.00
Super built-up  Area,May,Scheduled dates,18-May,Sarjapur  Road,3 BHK,4,1,103.00,1929.00
Built-up  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,3 BHK,3,1,100.00,1525.00
Super built-up  Area, ,Ready To Move,Ready To Move,Nehru Nagar,3 BHK,3,3,110.00,1775.00
Built-up  Area, ,Ready To Move,Ready To Move,Banashankari,2 BHK,2,1,63.00,1125.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hessarghatta,2 BHK,2,2,42.00,900.00
Super built-up  Area,March,Scheduled dates,18-Mar,Sarjapur  Road,2 BHK,2,1,58.00,1155.00
Built-up  Area, ,Ready To Move,Ready To Move,Hulimavu,4 BHK,4,0,75.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sonnenahalli,2 BHK,2,1,73.00,1268.00
Built-up  Area, ,Ready To Move,Ready To Move,Hoodi Layout,3 BHK,3,2,88.00,1500.00
Super built-up  Area,January,Scheduled dates,18-Jan,Electronic City,1 BHK,1,1,47.00,630.00
Super built-up  Area, ,Ready To Move,Ready To Move,Seegehalli,3 BHK,3,2,65.00,1525.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,2 BHK,2,2,48.00,1060.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lingadheeranahalli,3 BHK,3,3,127.00,1687.00
Super built-up  Area, ,Ready To Move,Ready To Move,Thanisandra,3 BHK,3,2,123.00,1847.00
Super built-up  Area, ,Ready To Move,Ready To Move,Begur Road,3 BHK,2,3,53.00,1410.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,42.99,1075.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,4 BHK,4,Not Provided,492.00,3526.00
Built-up  Area, ,Ready To Move,Ready To Move,BTM Layout,3 BHK,3,0,338.00,3000.00
Built-up  Area,April,Scheduled dates,18-Apr,Basavangudi,3 BHK,2,1,143.00,1500.00
Built-up  Area, ,Ready To Move,Ready To Move,Gaundanapalya,2 BHK,2,2,46.00,1010.00
Super built-up  Area,July,Scheduled dates,18-Jul,Haralur Road,3 BHK,3,3,110.00,1875.00
Plot  Area, ,Ready To Move,Ready To Move,Arasanakunte,5 BHK,6,Not Provided,137.00,1200.00
Super built-up  Area,December,Scheduled dates,20-Dec,Kanakpura Road,2 BHK,2,1,50.60,983.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kasturi Nagar,2 BHK,2,2,65.00,1101.00
Super built-up  Area, ,Ready To Move,Ready To Move,Laxmi Sagar Layout,2 BHK,2,1,76.00,1140.00
Super built-up  Area, ,Ready To Move,Ready To Move,Sarjapur  Road,2 BHK,2,2,110.00,1215.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kengeri Satellite Town,2 BHK,2,3,42.00,1007.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,3,2,168.00,2039.00
Built-up  Area, ,Ready To Move,Ready To Move,Ulsoor,3 BHK,3,2,110.00,1020.00
Super built-up  Area, ,Ready To Move,Ready To Move,Outer Ring Road East,2 BHK,2,1,84.00,1198.00
Built-up  Area, ,Ready To Move,Ready To Move,5th block Koramangala,4 BHK,4,1,520.00,4000.00
Plot  Area, ,Ready To Move,Ready To Move,Nelamangala,4 BHK,4,2,34.50,1470.00
Built-up  Area, ,Ready To Move,Ready To Move,JakkurYelahanka,2 BHK,2,2,75.00,1370.00
Super built-up  Area, ,Ready To Move,Ready To Move,Yemlur,2 BHK,2,3,55.50,1316.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kaggadasapura,3 BHK,3,1,55.50,1350.00
Super built-up  Area,May,Scheduled dates,18-May,Gunjur Palya,2 BHK,2,1,43.00,1050.00
Carpet  Area, ,Ready To Move,Ready To Move,KR Puram,3 BHK,3,0,47.41,1128.76
Super built-up  Area, ,Ready To Move,Ready To Move,Electronic City,2 BHK,2,1,34.00,921.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kundalahalli,2 BHK,2,1,49.27,1010.00
Super built-up  Area,June,Scheduled dates,18-Jun,KR Puram,2 BHK,2,1,43.00,1015.00
Plot  Area, ,Ready To Move,Ready To Move,TC Palaya,3 BHK,2,0,66.50,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Lakshminarayana Pura,2 BHK,2,1,75.00,1179.00
Built-up  Area, ,Ready To Move,Ready To Move,Anjanapura,4 BHK,4,2,86.00,1850.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kammasandra,2 BHK,2,1,24.00,870.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bellandur,3 BHK,3,2,85.00,1605.00
Plot  Area, ,Ready To Move,Ready To Move,Banashankari Stage VI,4 BHK,4,2,89.00,2800.00
Super built-up  Area, ,Ready To Move,Ready To Move,Malleshwaram,3 BHK,4,3,320.00,2475.00
Plot  Area, ,Ready To Move,Ready To Move,Ngef Layout,2 BHK,2,0,510.00,3000.00
Plot  Area, ,Ready To Move,Ready To Move,Bileshivale,6 BHK,7,2,110.00,2400.00
Super built-up  Area, ,Ready To Move,Ready To Move,2nd Phase JP Nagar,2 BHK,1,1,55.00,1000.00
Plot  Area, ,Ready To Move,Ready To Move,Ramamurthy Nagar,2 BHK,2,0,80.00,1200.00
Plot  Area, ,Ready To Move,Ready To Move,Manjunatha Layout,2 BHK,2,2,125.00,1200.00
Plot  Area,May,Scheduled dates,18-May,Kammasandra,2 BHK,2,1,66.00,1200.00
Built-up  Area, ,Ready To Move,Ready To Move,Kashi Nagar,2 BHK,2,2,50.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hennur,2 BHK,2,1,57.50,1255.00
Super built-up  Area, ,Ready To Move,Ready To Move,Hosur Road,2 BHK,2,2,30.38,1085.00
Super built-up  Area,July,Scheduled dates,19-Jul,Kanakpura Road,3 BHK,3,Not Provided,125.00,1592.00
Super built-up  Area,November,Scheduled dates,18-Nov,B Narayanapura,2 BHK,2,1,58.27,1313.00
Super built-up  Area,May,Scheduled dates,21-May,Kogilu,3 BHK,3,2,150.00,1934.00
Super built-up  Area, ,Ready To Move,Ready To Move,Harlur,2 BHK,2,1,49.50,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,6 BHK,6,2,120.00,3600.00
Super built-up  Area,December,Scheduled dates,19-Dec,Old Madras Road,2 BHK,2,1,45.00,935.00
Built-up  Area, ,Ready To Move,Ready To Move,Bommasandra,2 BHK,2,2,30.00,877.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ashwathnagar,2 BHK,2,2,42.00,936.00
Super built-up  Area, ,Ready To Move,Ready To Move,Nagasandra,3 BHK,2,2,110.00,1470.00
Built-up  Area, ,Ready To Move,Ready To Move,Upkar Layout,1 BHK,1,1,70.00,1050.00
Super built-up  Area,March,Scheduled dates,19-Mar,Hennur Road,2 BHK,2,0,69.61,1232.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ambedkar Nagar,3 BHK,4,2,169.00,2225.00
Plot  Area, ,Ready To Move,Ready To Move,Sunkadakatte,3 BHK,2,0,80.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Dasarahalli,3 BHK,3,2,119.00,1901.00
Super built-up  Area,December,Scheduled dates,18-Dec,Sarjapur  Road,3 BHK,3,2,100.00,1819.00
Super built-up  Area, ,Ready To Move,Ready To Move,Old Madras Road,4 BHK,6,0,200.50,3715.00
Built-up  Area, ,Ready To Move,Ready To Move,9th Phase JP Nagar,4 BHK,4,3,290.00,5000.00
